    153441
    0.9880 VVF   -1.873 1.5      0.000 0.5 10120000.00  26.172s2 2p5   2p4(1DE) 
    0.9880 VVF   -2.197 1.5      0.000 1.5 10120000.00  26.172s2 2p5   2p4(1DE) 
    0.9980 VVF   -1.503 0.5 102579.000 1.5 10120000.00  26.172s2 2p5   2p4(1DE) 
    0.9980 VVF   -1.578 0.5 102579.000 0.5 10120000.00  26.172s2 2p5   2p4(1DE) 
    0.9991 VVF   -0.590 1.5      0.000 0.5 10009000.00  26.192s2 2p3   2p2(3PE) 
    0.9991 VVF   -0.291 1.5      0.000 1.5 10009000.00  26.192s2 2p3   2p2(3PE) 
    1.0023 VVF   -0.256 0.5      0.000 1.5 9976866.000  11.10() 1s     () 2p    
    1.0029 VVF   -0.556 0.5      0.000 0.5 9971485.000  11.10() 1s     () 2p    
    1.0030 VVF   -0.706 1.5      0.000 2.5 9970000.000  26.172s2 2p5   2p4(3PE) 
    1.0120 VVF   -1.297 0.0      0.000 1.0 9878000.000  26.162s2 2p6   2p6 5p   
    1.0120 VVF   -0.119 1.5      0.000 2.5 9880000.000  26.192s2 2p3   2p2(3PE) 
    1.0175 VVF   -1.481 0.0      0.000 1.0 9828000.000  26.222s2       2p 3d    
    1.0238 VVF   -0.977 0.5      0.000 1.5 9767063.000  10.09() 1s     () 3p    
    1.0240 VVF   -1.279 0.5      0.000 0.5 9765975.000  10.09() 1s     () 3p    
    1.0330 VVF   -1.505 1.5      0.000 0.5 9680000.000  26.172s2 2p5   2p4(1DE) 
    1.0330 VVF   -1.800 1.5      0.000 1.5 9680000.000  26.172s2 2p5   2p4(1DE) 
    1.0370 VVF   -1.103 1.5      0.000 1.5 9640000.000  26.172s2 2p5   2p4(3PE) 
    1.0440 VVF   -1.106 0.5 102579.000 1.5 9680000.000  26.172s2 2p5   2p4(1DE) 
    1.0440 VVF   -1.209 0.5 102579.000 0.5 9680000.000  26.172s2 2p5   2p4(1DE) 
